folder_num,video_name,labels,class_label
19,19_57_57_184.avi,cg,1
19,19_158_158_289.avi,cg,1
19,19_49_49_157.avi,cg,1
19,19_10_10_22.avi,cg,1
19,19_241_241_351.avi,cg,1
19,19_28_28_91.avi,cg,1
19,19_105_105_248.avi,cg,1
19,19_25_25_77.avi,cg,1
19,19_10_10_23.avi,cg,1
19,19_9_9_15.avi,cg,1
19,19_20_20_53.avi,cg,1
19,19_89_89_228.avi,cg,1
19,19_28_28_89.avi,cg,1
19,19_178_178_303.avi,cg,1
19,19_32_32_107.avi,cg,1
19,19_270_270_373.avi,cg,1
19,19_99_99_237.avi,cg,1
19,19_33_33_109.avi,cg,1
19,19_48_48_153.avi,cg,1
19,19_6_6_13.avi,cg,1
19,19_35_35_110.avi,cg,1
19,19_91_91_234.avi,cg,1
19,19_407_407_450.avi,cg,1
19,19_102_102_243.avi,cg,1
19,19_56_56_180.avi,cg,1
19,19_254_254_359.avi,cg,1
19,19_99_99_240.avi,cg,1
19,19_28_28_92.avi,cg,1
19,19_29_29_97.avi,cg,1
19,19_69_69_219.avi,cg,1
19,19_28_28_87.avi,cg,1
19,19_19_19_47.avi,cg,1
19,19_37_37_126.avi,cg,1
19,19_27_27_86.avi,cg,1
19,19_188_188_312.avi,cg,1
19,19_455_455_463.avi,cg,1
19,19_51_51_163.avi,cg,1
19,19_51_51_162.avi,cg,1
19,19_163_163_292.avi,cg,1
19,19_357_357_425.avi,cg,1
19,19_76_76_223.avi,cg,1
19,19_17_17_44.avi,cg,1
19,19_47_47_150.avi,cg,1
19,19_65_65_212.avi,cg,1
19,19_9_9_16.avi,cg,1
19,19_217_217_332.avi,cg,1
19,19_72_72_221.avi,cg,1
19,19_128_128_264.avi,cg,1
19,19_220_220_336.avi,cg,1
19,19_22_22_59.avi,cg,1
19,19_69_69_214.avi,cg,1
19,19_396_396_444.avi,cg,1
19,19_49_49_155.avi,cg,1
19,19_380_380_435.avi,cg,1
19,19_254_254_358.avi,cg,1
19,19_270_270_372.avi,cg,1
19,19_240_240_346.avi,cg,1
19,19_99_99_236.avi,cg,1
19,19_199_199_321.avi,cg,1
19,19_99_99_241.avi,cg,1
19,19_1_1_0.avi,cg,1
19,19_35_35_114.avi,cg,1
19,19_24_24_66.avi,cg,1
19,19_264_264_364.avi,cg,1
19,19_180_180_307.avi,cg,1
19,19_77_77_224.avi,cg,1
19,19_48_48_152.avi,cg,1
19,19_127_127_262.avi,cg,1
19,19_105_105_249.avi,cg,1
19,19_28_28_88.avi,cg,1
19,19_57_57_185.avi,cg,1
19,19_386_386_438.avi,cg,1
19,19_63_63_201.avi,cg,1
19,19_150_150_282.avi,cg,1
19,19_133_133_267.avi,cg,1
19,19_296_296_390.avi,cg,1
19,19_30_30_99.avi,cg,1
19,19_9_9_18.avi,cg,1
19,19_56_56_182.avi,cg,1
19,19_260_260_363.avi,cg,1
19,19_370_370_429.avi,cg,1
19,19_150_150_280.avi,cg,1
19,19_37_37_122.avi,cg,1
19,19_26_26_79.avi,cg,1
19,19_37_37_125.avi,cg,1
19,19_300_300_396.avi,cg,1
19,19_188_188_311.avi,cg,1
19,19_29_29_94.avi,cg,1
19,19_115_115_259.avi,cg,1
19,19_59_59_188.avi,cg,1
19,19_276_276_380.avi,cg,1
19,19_426_426_454.avi,cg,1
19,19_246_246_352.avi,cg,1
19,19_29_29_95.avi,cg,1
19,19_308_308_404.avi,cg,1
19,19_199_199_320.avi,cg,1
19,19_39_39_128.avi,cg,1
19,19_330_330_414.avi,cg,1
19,19_264_264_367.avi,cg,1
19,19_136_136_270.avi,cg,1
19,19_16_16_39.avi,cg,1
19,19_375_375_433.avi,cg,1
19,19_30_30_100.avi,cg,1
19,19_292_292_386.avi,cg,1
19,19_150_150_284.avi,cg,1
19,19_50_50_161.avi,cg,1
